"from_user_name","to_user_name","in_reply_to_status_id","location"
"Laurazambr2","LilianaDuranA",1.32435444063631E+018,"Ecuador"
"MariaaRoja9","MargaritaGC_Ec",1.32477905813208E+018,"Ecuador"
"AnaGarciaas","rabascallcarlos",1.32364897238534E+018,"Ecuador"
"PaulaMore_12","elcomerciocom",1.32489182171833E+018,"Ecuador"
"naughtylalax","pichinchauniver",1.32489056327597E+018,"Guayaquil, Ecuador"
"SofiaCAguinaga","ECUAGOL",1.32488721533235E+018,"Ecuador"
"CarlisofiPerez","MEPlus05",1.32415003927554E+018,"Ecuador"
"Antnio_Estrad","DannyMorenoM",1.32489349711629E+018,"Ecuador"
"Valeriarilopez","SurgenteMorona",1.32297334366291E+018,"Ecuador"
"Gomezmari16","carlosgarcesv",1.32117200615972E+018,"Ecuador"
"mar1aElen4","DannyMorenoM",1.32489349711629E+018,"Ecuador"
"jjose7r","anagar51",1.3249027105845E+018,"Ecuador"
"Antoniovalenbg","DannyMorenoM",1.32489349711629E+018,"Ecuador"
"paolittareyes8","Tordaer",1.32490565861395E+018,"Ecuador"
"4lbaz4mbr4no25","enriquevasconez",1.32220758110915E+018,
"Marthagonzalesq","AkangauT",1.32490587614735E+018,"Ecuador"
"eddugonz","Tordaer",1.32490694053581E+018,"Ecuador"
"Maria_Ma12","OvejitaOvejuna",1.32221497416973E+018,"Ecuador"
"Eletorres09","Maria_Ma12",1.32490899994333E+018,"Ecuador"
"Marirammirez","KevinGonzzale",1.32490913602334E+018,"Ecuador"
"MorenooRosa","PatriaSagrada2",1.32306757781233E+018,"Ecuador"
"fabmons64","taniasandinista",1.32581324011957E+018,"Cuenca - Ecuador"
"Graciel92316324","ecuarauz",1.32555566596904E+018,
"alexagacebo","ianivancoronel1",1.32636035821962E+018,"Ecuador"
"freddycallejr","jmkarg",1.32654651624527E+018,"Cuenca, Ecuador"
"fabmons64","MabeMendezR",1.32770639217474E+018,"Cuenca - Ecuador"
"Santiag15940961","VanessaFreireV5",1.32806577074886E+018,"Babahoyo, Ecuador"
"CRiveraC_France","TaisFit",1.32853179741261E+018,"En el Aire..."
"HijadelSol17","ecuarauz",1.32816991176872E+018,
"Carmenadrade","AgriculturaEc",1.32832148975458E+018,"Ecuador"
"Carmenadrade","AgriculturaGua",1.32781118055194E+018,"Ecuador"
